Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C12,C15,C16,C17,C18,C2,C21,C22,C23,C30,C31,C4,C6,C7,C9",C_0402_1005Metric,C141382,15
100K,R17,R_0402_1005Metric,C25741,1
100pF,C10,C_0402_1005Metric,C1546,1
10k,"R2,R3,R6,R7,R8,R9",R_0402_1005Metric,C25744,6
10nH,L1,L_0402_1005Metric,C3911026,1
10uH,L2,L_0805_2012Metric,C162582,1
18 uH,"L3,L4,L5,L6",L_0603_1608Metric,C275349,4
1M,"R13,R14",R_0402_1005Metric,C26083,2
1N4148WS,D2,D_SOD-323,C2128,1
1k,"R1,R10,R11,R12,R15,R16,R19,R20,R21",R_0402_1005Metric,C11702,9
1uF,"C24,C32,C8",C_0402_1005Metric,C52923,3
2.2M,R18,R_0603_1608Metric,C22938,1
32.768KHz,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C94673,1
32MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C5441424,1
33 pF,"C25,C26,C27,C28",C_0402_1005Metric,C1562,4
4.7uF,C11,C_0805_2012Metric,C1779,1
4.7uF,"C1,C13,C14,C19,C20,C29",C_0402_1005Metric,C23733,6
5.1k,"R4,R5",R_0402_1005Metric,C25905,2
6.2pF,"C3,C5",C_0402_1005Metric,C82154,2
LED,D1,LED_0805_2012Metric,C84256,1
MCP1703Ax-300xxTT,U3,SOT-23,C625372,1
MLPF-WB55-01E3,U1,MLPF-WB55-01E3_STM,C2651048,1
STM32WB55CCUx,U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C404023,1
SW_Push,SW1,SW_SPST_TS-1088-xR020,C720477,1
Si2312,"Q1,Q2",SOT-23,C142518,2
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369,1
