Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,175.75,-60.05,0.0,top
C10,100pF,C_0402_1005Metric,169.866,-57.376,90.0,top
C11,4.7uF,C_0805_2012Metric,184.5,-46.9,0.0,top
C12,0.1uF,C_0402_1005Metric,179.574,-55.897,0.0,top
C13,4.7uF,C_0402_1005Metric,183.6,-51.7,-90.0,top
C14,4.7uF,C_0402_1005Metric,175.75,-59.1,180.0,top
C15,0.1uF,C_0402_1005Metric,176.53,-66.294,180.0,top
C16,0.1uF,C_0402_1005Metric,185.586,-82.212,90.0,top
C17,0.1uF,C_0402_1005Metric,179.55,-64.262,180.0,top
C18,0.1uF,C_0402_1005Metric,185.44,-80.18,90.0,top
C19,4.7uF,C_0402_1005Metric,186.602,-82.212,90.0,top
C2,0.1uF,C_0402_1005Metric,177.038,-48.994,90.0,top
C20,4.7uF,C_0402_1005Metric,179.578,-65.278,180.0,top
C21,0.1uF,C_0402_1005Metric,179.58,-83.4,180.0,top
C22,0.1uF,C_0402_1005Metric,176.276,-69.314,-90.0,top
C23,0.1uF,C_0402_1005Metric,175.95,-41.38,-90.0,top
C24,1uF,C_0402_1005Metric,177.264,-69.342,-90.0,top
C25,33 pF,C_0402_1005Metric,180.852,-72.695,90.0,top
C26,33 pF,C_0402_1005Metric,180.848,-75.6895,90.0,top
C27,33 pF,C_0402_1005Metric,178.844,-73.66,0.0,top
C28,33 pF,C_0402_1005Metric,174.4,-73.7,0.0,top
C29,4.7uF,C_0402_1005Metric,176.8731,-41.38,-90.0,top
C3,6.2pF,C_0402_1005Metric,181.995,-51.588,90.0,top
C30,0.1uF,C_0402_1005Metric,186.02,-83.6,0.0,top
C31,0.1uF,C_0402_1005Metric,177.949,-44.1589,90.0,top
C32,1uF,C_0402_1005Metric,178.903,-44.1589,90.0,top
C4,0.1uF,C_0402_1005Metric,169.672,-53.566,90.0,top
C5,6.2pF,C_0402_1005Metric,181.995,-49.584,-90.0,top
C6,0.1uF,C_0402_1005Metric,177.15,-59.55,-90.0,top
C7,0.1uF,C_0402_1005Metric,178.054,-48.994,90.0,top
C8,1.0uF,C_0402_1005Metric,173.736,-49.4515,90.0,top
C9,0.1uF,C_0402_1005Metric,168.85,-57.376,90.0,top
D1,LED,LED_0805_2012Metric,174.752,-37.084,0.0,top
D2,1N4148WS,D_SOD-323,183.6,-89.05,-90.0,top
H1,MountingHole,MountingHole_2.2mm_M2,187.525,-32.0,0.0,top
H2,MountingHole,MountingHole_2.2mm_M2,170.0,-112.0,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,185.328,-60.962,90.0,top
L1,10nH,L_0402_1005Metric,175.765,-61.0,180.0,top
L2,10uH,L_0805_2012Metric,173.95,-60.4125,90.0,top
L3,18 uH,L_0603_1608Metric,182.122,-72.6695,90.0,top
L4,18 uH,L_0603_1608Metric,182.118,-75.7175,90.0,top
L5,18 uH,L_0603_1608Metric,178.8465,-74.93,0.0,top
L6,18 uH,L_0603_1608Metric,174.3875,-74.9,0.0,top
Q1,Si2312,SOT-23,187.9,-46.8875,0.0,top
Q2,Si2312,SOT-23,182.352,-92.6115,180.0,top
R1,1K,R_0402_1005Metric,175.258,-38.608,0.0,top
R10,1k,R_0402_1005Metric,172.974,-69.598,-90.0,top
R11,1k,R_0402_1005Metric,174.498,-68.326,180.0,top
R12,1.0k,R_0402_1005Metric,182.1,-89.69,-90.0,top
R13,1M,R_0402_1005Metric,174.498,-72.39,0.0,top
R14,1M,R_0402_1005Metric,174.498,-67.31,0.0,top
R15,1k,R_0402_1005Metric,174.498,-71.374,180.0,top
R16,1k,R_0402_1005Metric,174.498,-66.294,180.0,top
R17,100K,R_0402_1005Metric,177.576,-83.4,0.0,top
R18,2.2M,R_0603_1608Metric,188.875,-44.2,180.0,top
R19,1.0k,R_0402_1005Metric,189.4,-45.5,0.0,top
R2,10k,R_0402_1005Metric,175.26,-49.022,0.0,top
R20,1k,R_0402_1005Metric,178.15,-64.66,-90.0,top
R21,1k,R_0402_1005Metric,177.2,-61.46,-90.0,top
R3,10K,R_0402_1005Metric,169.672,-37.084,0.0,top
R4,5.1k,R_0402_1005Metric,186.184,-55.118,0.0,top
R5,5.1k,R_0402_1005Metric,181.102,-56.39,90.0,top
R6,10k,R_0402_1005Metric,177.546,-47.498,180.0,top
R7,10k,R_0402_1005Metric,177.544,-46.482,180.0,top
R8,10k,R_0402_1005Metric,181.46,-83.2,0.0,top
R9,10K,R_0402_1005Metric,181.1,-89.69,90.0,top
SW1,SW_Push,SW_SPST_TS-1088-xR020,169.418,-47.691,-90.0,top
U1,MLPF-WB55-01E3,MLPF-WB55-01E3_STM,169.213001,-55.5,90.0,top
U2,STM32WB55CCUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,174.494,-54.4915,-90.0,top
U3,MCP1703Ax-300xxTT,SOT-23,184.7,-49.8625,180.0,top
Y1,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,170.9,-60.7,180.0,top
Y2,32.768KHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,180.217,-50.6,90.0,top
